Mastermix,Buffer,Template,Nickase,Polymerase
1,1.26,41.86,0.23,0.05
2,1.37,72.86,0.22,0.06
3,0.12,98.54,0.05,0.04
4,0.88,10.27,0.08,0.1
5,0.15,42.44,0.5,0.03
6,0.1,72.8,0.15,0.005
7,1.95,75.92,0.5,0.007
8,1.94,10.7,0.06,0.1
9,1.96,86.28,0.05,0.01
10,1.71,96.34,0.18,0.02
11,0.93,97.18,0.48,0.01
12,0.1,99.97,0.06,0.01
