Mastermix,Buffer,Template,Nickase,Polymerase
66,2,100,0.25,0.1
67,1.25,100,0.05,0.005
68,2,10,0.05,0.005
69,2,100,0.22,0.1
70,0.1,39.83,0.4,0.096
71,0.1,79.89,0.37,0.03
72,2,100,0.05,0.1
73,2,10,0.05,0.005
74,0.68,10,0.16,0.005
75,2,10,0.12,0.005
76,1.195,100,0.05,0.005
77,2,10.46,0.05,0.043
