Mastermix,Buffer,Template,Nickase,Polymerase
45,1.3,57.81,0.5,0.1
46,1.23,10,0.05,0.005
47,0.1,100,0.5,0.005
48,1,100,0.5,0.1
49,0.1,56.41,0.36,0.005
50,0.1,100,0.26,0.005
51,2,10,0.31,0.005
52,0.1,100,0.5,0.005
53,0.7,10,0.05,0.005
54,0.56,10,0.05,0.047
55,0.51,100,0.05,0.1
56,1.61,25.44,0.5,0.005
