Mastermix,Buffer,Template,Nickase,Polymerase
35,2,10,0.5,0.005
36,0.98,59.64,0.05,0.1
37,0.1,10,0.5,0.1
38,2,10,0.5,0.005
39,0.1,12.19,0.48,0.07
40,0.57,18.67,0.05,0.005
41,2,10,0.5,0.005
42,0.1,10,0.5,0.1
43,1.55,45.69,0.05,0.1
44,1.57,45.3,0.05,0.1
45,2,100,0.5,0.08
46,2,48.78,0.5,0.005
