Mastermix,Buffer,Template,Nickase,Polymerase
56,1.51,100,0.38,0.04
57,1.68,43.44,0.38,0.1
58,0.1,10,0.25,0.1
59,0.1,100,0.25,0.1
60,0.65,10,0.5,0.005
61,0.1,10,0.35,0.1
62,0.1,10,0.25,0.1
63,0.1,100,0.25,0.1
64,0.63,83.61,0.05,0.005
65,0.65,10,0.18,0.005
66,1.67,11.03,0.5,0.07
67,1.31,0.01,0.5,0.005
